CV,len_n,len_len_cm,len_len_um,amp_n,amp_amp_cm,amp_amp_um,p_n,p_p,area_cm,area_um
1.2307635491885,1,0.00025,2.5,1,0,0,1,0.2,0.00025,2.5
3.00562951203044,2,0.0005,5,1,0,0,1,0.2,0.0005,5
8.41820338636798,3,0.00075,7.5,1,0,0,1,0.2,0.00075,7.5
24.3430045872487,4,0.001,10,1,0,0,1,0.2,0.001,10
69.822037854791,5,0.00125,12.5,1,0,0,1,0.2,0.00125,12.5
203.312876803119,6,0.0015,15,1,0,0,1,0.2,0.0015,15
817.285191822777,7,0.00175,17.5,1,0,0,1,0.2,0.00175,17.5
-4155.39454603026,8,0.002,20,1,0,0,1,0.2,0.002,20
-1130.98865797405,9,0.00225,22.5,1,0,0,1,0.2,0.00225,22.5
-899.138125466418,10,0.0025,25,1,0,0,1,0.2,0.0025,25
-863.780280675407,11,0.00275,27.5,1,0,0,1,0.2,0.00275,27.5
-875.498563211266,12,0.003,30,1,0,0,1,0.2,0.003,30
